,Longitude,Latitude,vin cnt,accuracy,type,city,country,county,street,number,postdirectional,predirectional,prefix,state,street,suffix,zip,address,lat,lng,source
34,-85.152177,34.222352,583,1,nearest_street,Rome,US,Floyd County,US 411,,,,,GA,US 411,,30161,"US 411, Rome, GA 30161",34.222996,-85.151552,TIGER/Line® dataset from the US Census Bureau
35,-85.1517302,34.2241381,576,1,nearest_street,Rome,US,Floyd County,US 411,,,,,GA,US 411,,30161,"US 411, Rome, GA 30161",34.223326,-85.151998,TIGER/Line® dataset from the US Census Bureau
36,-85.1450103,34.2771823,355,0.98,nearest_street,Rome,US,Floyd County,Tolbert St,462,,,,GA,Tolbert,St,30161,"462 Tolbert St, Rome, GA 30161",34.277031,-85.146039,TIGER/Line® dataset from the US Census Bureau
37,-85.1428,33.7238,135,1,nearest_street,Bremen,US,Haralson County,Us Hwy 78,511,,,,GA,Us Hwy 78,,30110,"511 Us Hwy 78, Bremen, GA 30110",33.722459,-85.142169,TIGER/Line® dataset from the US Census Bureau
38,-85.13207,34.900919,1493,0.97,nearest_street,Ringgold,US,Catoosa County,Old Alabama Hwy,6334,,,,GA,Old Alabama,Hwy,30736,"6334 Old Alabama Hwy, Ringgold, GA 30736",34.901958,-85.130799,TIGER/Line® dataset from the US Census Bureau
39,-85.125851,34.914385,20,0.96,nearest_street,Ringgold,US,Catoosa County,Old Alabama Rd,5198,,,,GA,Old Alabama,Rd,30736,"5198 Old Alabama Rd, Ringgold, GA 30736",34.915323,-85.123914,TIGER/Line® dataset from the US Census Bureau
40,-85.1042432,34.9108845,41,0.99,nearest_street,Ringgold,US,Catoosa County,State Rte 3,8323,,,,GA,State Rte 3,,30736,"8323 State Rte 3, Ringgold, GA 30736",34.910978,-85.104042,TIGER/Line® dataset from the US Census Bureau
41,-85.085595,33.6084049,192,1,nearest_street,Carrollton,US,Carroll County,US 27,,,,,GA,US 27,,30117,"US 27, Carrollton, GA 30117",33.60903,-85.085173,TIGER/Line® dataset from the US Census Bureau
42,-85.0808454,33.6019187,577,1,nearest_street,Carrollton,US,Carroll County,US 27,,,,,GA,US 27,,30117,"US 27, Carrollton, GA 30117",33.602656,-85.07971,TIGER/Line® dataset from the US Census Bureau
43,-85.064125,33.580475,328,1,rooftop,Carrollton,US,Carroll County,Bankhead Hwy,155,,,,GA,Bankhead,Hwy,30117,"155 Bankhead Hwy, Carrollton, GA 30117",33.580484,-85.064143,Carroll
44,-85.055308,33.587321,310,1,rooftop,Carrollton,US,Carroll County,Bankhead Hwy,631,,,,GA,Bankhead,Hwy,30117,"631 Bankhead Hwy, Carrollton, GA 30117",33.587324,-85.05531,Carroll
45,-85.0529572,33.5880212,184,1,rooftop,Carrollton,US,Carroll County,Carroll Cir,131,,,,GA,Carroll,Cir,30117,"131 Carroll Cir, Carrollton, GA 30117",33.587695,-85.052357,Carroll
46,-85.0369666,33.5977759,4,1,rooftop,Carrollton,US,Carroll County,Ford Way,1,,,,GA,Ford,Way,30116,"1 Ford Way, Carrollton, GA 30116",33.59747,-85.036916,Carroll
47,-85.0292939,33.091959,5,1,nearest_street,Lagrange,US,Troup County,US 27,,,,,GA,US 27,,30240,"US 27, Lagrange, GA 30240",33.09218,-85.028717,TIGER/Line® dataset from the US Census Bureau
48,-85.0291518,33.0561864,53,1,rooftop,Lagrange,US,Troup County,New Franklin Rd,709,,,,GA,New Franklin,Rd,30240,"709 New Franklin Rd, Lagrange, GA 30240",33.056164,-85.029196,Troup
49,-85.0086867,33.0390544,197,1,rooftop,Lagrange,US,Troup County,Lafayette Pkwy,1050,,,,GA,Lafayette,Pkwy,30241,"1050 Lafayette Pkwy, Lagrange, GA 30241",33.03919,-85.008388,Troup
50,-85.0047919,33.613149,12,1,rooftop,Carrollton,US,Carroll County,Bankhead Hwy,2280,,,,GA,Bankhead,Hwy,30116,"2280 Bankhead Hwy, Carrollton, GA 30116",33.613083,-85.004608,Carroll
51,-85.0025211,33.0418613,383,1,rooftop,Lagrange,US,Troup County,Lafayette Pkwy,1217,,,,GA,Lafayette,Pkwy,30241,"1217 Lafayette Pkwy, Lagrange, GA 30241",33.042203,-85.002581,Troup
52,-85.0005482,33.0421732,1491,1,rooftop,Lagrange,US,Troup County,Lafayette Pkwy,1221,,,,GA,Lafayette,Pkwy,30241,"1221 Lafayette Pkwy, Lagrange, GA 30241",33.042178,-85.000518,Troup
53,-84.9957704,33.9258797,6,1,rooftop,Dallas,US,Paulding County,Gold Mine Rd,2754,,,,GA,Gold Mine,Rd,30157,"2754 Gold Mine Rd, Dallas, GA 30157",33.925903,-84.995756,Paulding
54,-84.994321,33.0417262,107,1,rooftop,Lagrange,US,Troup County,Lafayette Pkwy,1327,,,,GA,Lafayette,Pkwy,30241,"1327 Lafayette Pkwy, Lagrange, GA 30241",33.041614,-84.994475,Troup
55,-84.9933306,33.0411023,1117,0.99,rooftop,Lagrange,US,Troup County,Lafayette Pkwy,1380,,,,GA,Lafayette,Pkwy,30241,"1380 Lafayette Pkwy, Lagrange, GA 30241",33.040373,-84.993619,Troup
56,-84.9921549,34.7486859,391,1,rooftop,Dalton,US,Whitfield County,Briarcliff Cir,1705,,,,GA,Briarcliff,Cir,30720,"1705 Briarcliff Cir, Dalton, GA 30720",34.748709,-84.992161,Whitfield
57,-84.9910629,34.6914668,29,1,nearest_street,Dalton,US,Whitfield County,US 41,,,,,GA,US 41,,30720,"US 41, Dalton, GA 30720",34.690557,-84.991766,TIGER/Line® dataset from the US Census Bureau
58,-84.9624118,34.7615953,448,1,rooftop,Dalton,US,Whitfield County,S Glenwood Ave,720,,S,,GA,Glenwood,Ave,30721,"720 S Glenwood Ave, Dalton, GA 30721",34.761783,-84.96296,Whitfield
59,-84.9477191,34.4895711,2,1,nearest_street,Calhoun,US,Gordon County,Us Hwy 41,712,,,,GA,Us Hwy 41,,30701,"712 Us Hwy 41, Calhoun, GA 30701",34.490001,-84.947378,TIGER/Line® dataset from the US Census Bureau
60,-84.9438725,34.7603836,70,1,rooftop,Dalton,US,Whitfield County,E Walnut Ave,1504,,E,,GA,Walnut,Ave,30721,"1504 E Walnut Ave, Dalton, GA 30721",34.759996,-84.9434,Whitfield
61,-84.9401462,33.7181581,487,1,rooftop,Villa Rica,US,Carroll County,Cooley Way,105,,,,GA,Cooley,Way,30180,"105 Cooley Way, Villa Rica, GA 30180",33.71804,-84.939956,Carroll
62,-84.938312,34.761041,1292,1,rooftop,Dalton,US,Whitfield County,E Walnut Ave,1809,,E,,GA,Walnut,Ave,30721,"1809 E Walnut Ave, Dalton, GA 30721",34.761286,-84.938698,Whitfield
63,-84.9360712,34.7782867,10,1,rooftop,Dalton,US,Whitfield County,M L King Jr Blvd,1907,,,,GA,M L King Jr,Blvd,30721,"1907 M L King Jr Blvd, Dalton, GA 30721",34.778367,-84.935645,Whitfield
64,-84.9282907,34.476221,155,1,rooftop,Calhoun,US,Gordon County,Highway 53,446,,,,GA,Highway 53,,30701,"446 Highway 53, Calhoun, GA 30701",34.476221,-84.928241,Gordon County
65,-84.9219676,34.4763968,27,1,rooftop,Calhoun,US,Gordon County,Curtis,1231,,,,GA,Curtis,,30701,"1231 Curtis, Calhoun, GA 30701",34.476406,-84.921968,Gordon County
66,-84.9171368,33.7291858,51,1,nearest_street,Villa Rica,US,Carroll County,Us Hwy 78,162,,,,GA,Us Hwy 78,,30180,"162 Us Hwy 78, Villa Rica, GA 30180",33.729456,-84.916742,TIGER/Line® dataset from the US Census Bureau
67,-84.8464105,33.4143687,24,1,nearest_street,Newnan,US,Coweta County,US 27 Alternate,,,,,GA,US 27 Alternate,,30263,"US 27 Alternate, Newnan, GA 30263",33.414473,-84.846145,TIGER/Line® dataset from the US Census Bureau
68,-84.8339722,34.1465248,157,1,rooftop,Cartersville,US,Bartow County,West Ave,1401,,,,GA,West,Ave,30120,"1401 West Ave, Cartersville, GA 30120",34.146741,-84.833369,Bartow
69,-84.8324896,34.1486638,18,1,rooftop,Cartersville,US,Bartow County,Euharlee Rd,20,,,,GA,Euharlee,Rd,30120,"20 Euharlee Rd, Cartersville, GA 30120",34.148759,-84.832474,Bartow
70,-84.8272508,33.91752,192,1,rooftop,Dallas,US,Paulding County,Merchants Dr,292,,,,GA,Merchants,Dr,30132,"292 Merchants Dr, Dallas, GA 30132",33.917544,-84.827242,Paulding
71,-84.8224538,34.782195,48,1,nearest_street,Chatsworth,US,Murray County,Us Hwy 76,2799,,,,GA,Us Hwy 76,,30705,"2799 Us Hwy 76, Chatsworth, GA 30705",34.782868,-84.822745,TIGER/Line® dataset from the US Census Bureau
72,-84.8208239,33.7304838,11,1,nearest_street,Winston,US,Douglas County,Us Hwy 78,7458,,,,GA,Us Hwy 78,,30187,"7458 Us Hwy 78, Winston, GA 30187",33.729039,-84.819373,TIGER/Line® dataset from the US Census Bureau
73,-84.818149,34.220383,1,1,rooftop,Cartersville,US,Bartow County,Grassdale Rd,601,,,,GA,Grassdale,Rd,30121,"601 Grassdale Rd, Cartersville, GA 30121",34.220387,-84.818158,Bartow
74,-84.8173027,34.2059007,2,1,nearest_street,Cartersville,US,Bartow County,Us Hwy 41,1335,,,,GA,Us Hwy 41,,30121,"1335 Us Hwy 41, Cartersville, GA 30121",34.206246,-84.817084,TIGER/Line® dataset from the US Census Bureau
75,-84.8115162,34.2394997,122,0.99,rooftop,Cartersville,US,Bartow County,Grassdale Rd,1117,,,,GA,Grassdale,Rd,30121,"1117 Grassdale Rd, Cartersville, GA 30121",34.240455,-84.811652,Bartow
76,-84.8114403,34.2037184,276,1,nearest_street,Cartersville,US,Bartow County,Us Hwy 41,1297,,,,GA,Us Hwy 41,,30121,"1297 Us Hwy 41, Cartersville, GA 30121",34.204288,-84.810772,TIGER/Line® dataset from the US Census Bureau
77,-84.798126,33.910071,67,1,rooftop,Dallas,US,Paulding County,Merchants Dr,1386,,,,GA,Merchants,Dr,30132,"1386 Merchants Dr, Dallas, GA 30132",33.910326,-84.798368,Paulding
78,-84.7978309,34.1938556,4,1,rooftop,Cartersville,US,Bartow County,Tennessee St,1124,,,,GA,Tennessee,St,30120,"1124 Tennessee St, Cartersville, GA 30120",34.193801,-84.797721,Bartow
79,-84.7944741,34.1845583,19,1,rooftop,Cartersville,US,Bartow County,Tennessee St,913,,,,GA,Tennessee,St,30120,"913 Tennessee St, Cartersville, GA 30120",34.18489,-84.794283,Bartow
80,-84.7940983,34.1740305,2,1,rooftop,Cartersville,US,Bartow County,Tennessee St,352,,,,GA,Tennessee,St,30120,"352 Tennessee St, Cartersville, GA 30120",34.173628,-84.794054,Bartow
81,-84.7937811,33.3624243,123,1,nearest_street,Newnan,US,Coweta County,US 27 Alternate,,,,,GA,US 27 Alternate,,30263,"US 27 Alternate, Newnan, GA 30263",33.362689,-84.793497,TIGER/Line® dataset from the US Census Bureau
82,-84.792069,33.3613829,9,1,nearest_street,Newnan,US,Coweta County,Us Hwy 27 Alt,231,,,,GA,Us Hwy 27 Alt,,30263,"231 Us Hwy 27 Alt, Newnan, GA 30263",33.36112,-84.792319,TIGER/Line® dataset from the US Census Bureau
83,-84.789625,34.1627731,282,1,rooftop,Cartersville,US,Bartow County,Dixie Ave,125,,,,GA,Dixie,Ave,30120,"125 Dixie Ave, Cartersville, GA 30120",34.162585,-84.790073,Bartow
84,-84.78876,34.167023,180,1,rooftop,Cartersville,US,Bartow County,Dixie Ave,2,,,,GA,Dixie,Ave,30120,"2 Dixie Ave, Cartersville, GA 30120",34.167527,-84.789209,Bartow
85,-84.78775,34.1915119,438,1,nearest_street,Cartersville,US,Bartow County,Us Hwy 41,539,,,,GA,Us Hwy 41,,30120,"539 Us Hwy 41, Cartersville, GA 30120",34.191344,-84.788949,TIGER/Line® dataset from the US Census Bureau
86,-84.7864286,34.1842944,104,1,nearest_street,Cartersville,US,Bartow County,Us Hwy 41,444,,,,GA,Us Hwy 41,,30120,"444 Us Hwy 41, Cartersville, GA 30120",34.185831,-84.786169,TIGER/Line® dataset from the US Census Bureau
87,-84.784979,33.7404892,22,1,nearest_street,Douglasville,US,Douglas County,Us Hwy 78,6547,,,,GA,Us Hwy 78,,30134,"6547 Us Hwy 78, Douglasville, GA 30134",33.740605,-84.784205,TIGER/Line® dataset from the US Census Bureau
88,-84.7829824,34.1696421,983,1,rooftop,Cartersville,US,Bartow County,Main St,539,,,,GA,Main,St,30121,"539 Main St, Cartersville, GA 30121",34.169553,-84.782709,Bartow
89,-84.7820587,34.1701195,97,1,rooftop,Cartersville,US,Bartow County,Main St,567,,,,GA,Main,St,30121,"567 Main St, Cartersville, GA 30121",34.170251,-84.782318,Bartow
90,-84.7818643,34.1709519,70,1,rooftop,Cartersville,US,Bartow County,Main St,595,,,,GA,Main,St,30121,"595 Main St, Cartersville, GA 30121",34.171017,-84.781884,Bartow
91,-84.781289,33.3318483,64,1,nearest_street,Newnan,US,Coweta County,US 29,,,,,GA,US 29,,30263,"US 29, Newnan, GA 30263",33.332093,-84.782176,TIGER/Line® dataset from the US Census Bureau
92,-84.7809011,33.9094265,1,1,rooftop,Hiram,US,Paulding County,Atlanta Hwy,3660,,,,GA,Atlanta,Hwy,30141,"3660 Atlanta Hwy, Hiram, GA 30141",33.909428,-84.780911,Paulding
93,-84.7777784,33.9106346,239,1,rooftop,Dallas,US,Paulding County,Charles Hardy Pkwy,565,,,,GA,Charles Hardy,Pkwy,30157,"565 Charles Hardy Pkwy, Dallas, GA 30157",33.910812,-84.778278,Paulding
94,-84.7727307,33.9168066,1841,1,rooftop,Dallas,US,Paulding County,Macland Rd,2026,,,,GA,Macland,Rd,30157,"2026 Macland Rd, Dallas, GA 30157",33.916799,-84.772731,Paulding
95,-84.7692394,33.392818,74,1,rooftop,Newnan,US,Coweta County,Bullsboro Dr,238,,,,GA,Bullsboro,Dr,30263,"238 Bullsboro Dr, Newnan, GA 30263",33.392823,-84.769222,Coweta
96,-84.7684172,33.917135,346,1,rooftop,Dallas,US,Paulding County,Charles Hardy Pkwy,1242,,,,GA,Charles Hardy,Pkwy,30157,"1242 Charles Hardy Pkwy, Dallas, GA 30157",33.917145,-84.768427,Paulding
97,-84.7665776,33.919044,805,1,rooftop,Dallas,US,Paulding County,Old Griffin Rd,1245,,,,GA,Old Griffin,Rd,30157,"1245 Old Griffin Rd, Dallas, GA 30157",33.919236,-84.766654,Paulding
98,-84.765272,33.968349,233,1,rooftop,Dallas,US,Paulding County,Mt Tabor Church Rd,4154,,,,GA,Mt Tabor Church,Rd,30157,"4154 Mt Tabor Church Rd, Dallas, GA 30157",33.968148,-84.764944,Paulding
99,-84.7639314,33.3976624,2,1,rooftop,Newnan,US,Coweta County,Millard Farmer Industrial Blvd,29,,,,GA,Millard Farmer Industrial,Blvd,30263,"29 Millard Farmer Industrial Blvd, Newnan, GA 30263",33.397652,-84.763925,Coweta
100,-84.7626813,33.38713,608,1,nearest_street,Newnan,US,Coweta County,I 85,,,,,GA,I 85,,30263,"I 85, Newnan, GA 30263",33.38659,-84.755869,TIGER/Line® dataset from the US Census Bureau
101,-84.7618965,33.8953408,274,1,nearest_street,Hiram,US,Paulding County,US 278,,,,,GA,US 278,,30141,"US 278, Hiram, GA 30141",33.894545,-84.762947,TIGER/Line® dataset from the US Census Bureau
102,-84.7562809,33.3984361,651,1,rooftop,Newnan,US,Coweta County,Herring Rd,2,,,,GA,Herring,Rd,30265,"2 Herring Rd, Newnan, GA 30265",33.398285,-84.755961,Coweta
103,-84.7552483,33.3958126,1147,1,rooftop,Newnan,US,Coweta County,Bullsboro Dr,695,,,,GA,Bullsboro,Dr,30265,"695 Bullsboro Dr, Newnan, GA 30265",33.395824,-84.755674,Coweta
104,-84.7521392,33.3957329,678,1,rooftop,Newnan,US,Coweta County,Bullsboro Dr,783,,,,GA,Bullsboro,Dr,30265,"783 Bullsboro Dr, Newnan, GA 30265",33.395753,-84.752091,Coweta
105,-84.7519839,34.215221,75,1,rooftop,Cartersville,US,Bartow County,Stonemill Crk,40,,,,GA,Stonemill,Crk,30121,"40 Stonemill Crk, Cartersville, GA 30121",34.215228,-84.751988,Bartow
106,-84.7513861,33.3977818,1235,1,rooftop,Newnan,US,Coweta County,Bullsboro Dr,800,,,,GA,Bullsboro,Dr,30265,"800 Bullsboro Dr, Newnan, GA 30265",33.397565,-84.75135,Coweta
107,-84.7511834,33.7911848,1,1,rooftop,Douglasville,US,Paulding County,Hunter Rd,64,,,,GA,Hunter,Rd,30134,"64 Hunter Rd, Douglasville, GA 30134",33.791129,-84.751211,Paulding
108,-84.7387999,33.7579103,19,1,rooftop,Douglasville,US,Douglas County,Odessa Pl,8120,,,,GA,Odessa,Pl,30134,"8120 Odessa Pl, Douglasville, GA 30134",33.757814,-84.73879,Douglas
109,-84.737171,33.3973595,42,1,rooftop,Newnan,US,Coweta County,Bullsboro Dr,1273,,,,GA,Bullsboro,Dr,30265,"1273 Bullsboro Dr, Newnan, GA 30265",33.397685,-84.737374,Coweta
110,-84.7280811,34.08569,7,1,rooftop,Cartersville,US,Bartow County,Kelli Clark Ct,142,,,,GA,Kelli Clark,Ct,30121,"142 Kelli Clark Ct, Cartersville, GA 30121",34.085367,-84.727513,Bartow
111,-84.726673,33.400785,1754,1,rooftop,Newnan,US,Coweta County,International Park,40,,,,GA,International,Park,30265,"40 International Park, Newnan, GA 30265",33.400829,-84.726724,Coweta
112,-84.7202944,33.4032756,242,1,rooftop,Newnan,US,Coweta County,Hollz Pkwy,53,,,,GA,Hollz,Pkwy,30265,"53 Hollz Pkwy, Newnan, GA 30265",33.403226,-84.720285,Coweta
113,-84.7037976,33.7486034,364,1,rooftop,Douglasville,US,Douglas County,Hwy 92 - Fairburn Rd,2100,,,,GA,Hwy 92 - Fairburn,Rd,30135,"2100 Hwy 92 - Fairburn Rd, Douglasville, GA 30135",33.748727,-84.703887,Douglas
114,-84.6979444,34.0460732,29,1,nearest_street,Acworth,US,Cobb County,Us Hwy 41,3494,,,,GA,Us Hwy 41,,30101,"3494 Us Hwy 41, Acworth, GA 30101",34.045156,-84.696979,TIGER/Line® dataset from the US Census Bureau
115,-84.6974118,34.2212522,94,1,rooftop,White,US,Bartow County,Hwy 20,6107,,,,GA,Hwy 20,,30184,"6107 Hwy 20, White, GA 30184",34.220985,-84.696995,Bartow
116,-84.684243,33.4469456,454,0.99,rooftop,Newnan,US,Coweta County,Emerald Dr,15,,,,GA,Emerald,Dr,30265,"15 Emerald Dr, Newnan, GA 30265",33.446217,-84.683569,Coweta
117,-84.6630232,33.7130176,30,1,rooftop,Douglasville,US,Douglas County,Hwy 92 - Fairburn Rd,3385,,,,GA,Hwy 92 - Fairburn,Rd,30135,"3385 Hwy 92 - Fairburn Rd, Douglasville, GA 30135",33.71264,-84.663588,Douglas
118,-84.6608664,34.0587055,93,1,rooftop,Acworth,US,Cobb County,Acworth Industrial Dr,4300,,,,GA,Acworth Industrial,Dr,30101,"4300 Acworth Industrial Dr, Acworth, GA 30101",34.058547,-84.660903,Cobb
119,-84.6600499,34.0625454,10,1,rooftop,Acworth,US,Cobb County,Acworth Industrial Dr,4494,,,,GA,Acworth Industrial,Dr,30101,"4494 Acworth Industrial Dr, Acworth, GA 30101",34.062297,-84.660043,Cobb
120,-84.659983,34.063318,2,1,rooftop,Acworth,US,Cobb County,Acworth Industrial Dr,4492,,,,GA,Acworth Industrial,Dr,30101,"4492 Acworth Industrial Dr, Acworth, GA 30101",34.063324,-84.659987,Cobb
